Riddles,Answer1,Answer2
What kind of room has no doors or windows?,a mushroom,mushroom
"The person who makes it, sells it. The person who buys it never uses it and the person who uses it doesnt know they are. What is it?",a coffin,coffin
"What is black when you use it, red when you use it, and gray when you throw it away?",charcoal,a piece of charcoal
What English word has three consecutive double letters?,bookkeeper,
We hurt without moving. We poison without touching. We bear the truth and the lies. We are not to be judged by our size. What are we?,words,
What grows up and down at the same time?,a goose,geese
"What can one not keep, two hold, and three destroy?",a secret,secrets
"I can bring tears to your eyes; resurrect the dead, make you smile, and reverse time. I form in an instant but I last a life time. What am I?",a memory,memories
What is the center of gravity?,v,the letter v
What two things can you never eat for breakfast?,lunch and dinner,dinner and lunch
What tastes better than it smells?,a tongue,the tongue
"I am invisible, weigh nothing, and if you put me in a barrel, it will become lighter. What am I",a hole,
"I am not alive, yet I grow; I have no lungs, yet I need air; I have no mouth, yet I can drown. What am I?",fire ,a fire
"What can be swallowed, but can swallow you?",pride,
"The vessel I have thats round in a pair, moist in the middle surrounded by hair and often it happens water flowers there. What am I?",the eye,an eye
