Riddles,Answer1,Answer2,Spells
"It will always be yours, but you give it to everybody. What am I?",your name,my name,
"I am taken from a mine, and shut up in a wooden case, from which I am never released, and yet I am used by almost everybody.",a pencil lead,pencil lead,
"I am the beginning of sorrow, and the end of sickness. You cannot express happiness without me, yet I am in the midst of crosses. I am always in risk, yet never in danger. You may find me in the sun, but I am never out of darkness.",s,the letter s,
"What comes once in a minute, twice in a moment, but never in a thousand years?",m,the letter m,
"The more you take, the more you leave behind. What are they?",footsteps,,
"who spends the day at the window, goes to the table for meals, and hides at night?",a fly,,
"what goes round and round and round the wood, but never goes into the wood?",the bark of a tree,,
"It's been around for millions of years, but it's no more than a month old. What is it?",moon,the moon,
"Name the thing you will break, even when you name it?",silence,,
"What is put on a table, cut, but never eaten? ",a deck of cards,cards,
"Though it is not an ox, it has horns; though it is not an ass, it has a pack-saddle;¾and whereever it goes it leaves silver behind. What is it?",snail,a snail,
"Lives without a body, hears without ears, speaks without a mouth, to which the air alone gives birth.",echo,an echo,
What walks all day on its head?,A nail in a horseshoe,,
